183,341,263,78.70549,BC,4
181,333,268,78.152,BC,4
183,348,233,76.32283,BC,4
185,395,303,88.30462,AB,2
172,365,330,86.70976,AB,2
186,390,289,86.4542,AB,2
164,352,285,80.07311,B,3
187,388,278,85.35234,AB,2
184,382,291,85.69715,AB,2
123,359,255,73.62587,C,5
148,352,243,74.3193,C,5
196,390,341,92.73823,A,1
176,377,290,84.30388,B,3
129,331,205,66.49372,F,6
190,398,324,91.25096,AB,2
173,377,326,87.58413,AB,2
132,310,212,65.41572,F,6
184,349,304,83.69976,B,3
154,382,313,84.87107,B,3
161,363,312,83.61747,B,3
189,369,267,82.50145,B,3
189,366,350,90.49644,AB,2
185,407,325,91.63789,AB,2
52,302,133,48.74873,F,6
164,367,305,83.5248,B,3
183,400,262,84.50772,B,3
169,360,250,77.81775,BC,4
125,362,208,69.37856,F,6
184,374,336,89.45955,AB,2
194,411,370,97.45497,A,1
190,329,279,79.77637,BC,4
156,372,243,77.05236,BC,4
191,377,272,83.99609,B,3
184,371,288,84.2899,B,3
186,376,184,74.602,C,5
167,357,321,84.42961,B,3
178,342,288,80.76198,B,3
159,320,257,73.56104,C,5
159,358,313,82.9768,B,3
187,382,299,86.82617,AB,2
186,335,252,77.29644,BC,4
193,381,299,87.33163,AB,2
182,370,233,78.45758,BC,4
173,365,279,81.67466,B,3
185,371,286,84.234,B,3
168,357,233,75.82047,BC,4
168,352,242,76.1536,BC,4
190,385,274,84.86578,B,3
165,347,239,75.1897,BC,4
182,376,273,83.14029,B,3
182,343,325,84.99105,B,3
186,360,303,84.81062,B,3
179,341,256,77.62176,BC,4
131,322,266,71.94623,C,5
185,378,254,81.64145,B,3
174,378,241,79.26487,BC,4
166,340,208,71.41133,C,5
166,355,223,74.44673,C,5
198,376,274,84.6905,B,3
165,360,295,81.93249,B,3
188,358,285,83.0626,B,3
104,368,276,74.76146,C,5
40,291,193,52.41691,F,6
189,365,306,86.08596,AB,2
186,390,320,89.71409,AB,2
177,368,269,81.41373,B,3
102,354,230,68.58386,F,6
172,329,244,74.44205,C,5
178,382,274,83.41751,B,3
187,368,335,88.9867,AB,2
197,385,321,90.29496,AB,2
190,380,341,91.2145,AB,2
165,333,342,84.01607,B,3
147,356,316,81.91366,B,3
150,368,221,73.87287,C,5
152,286,221,65.91357,F,6
186,380,249,81.53543,B,3
175,354,241,77.00109,BC,4
170,355,234,75.82328,BC,4
175,380,283,83.81003,B,3
174,373,288,83.4656,B,3
183,354,351,88.78793,AB,2
175,373,272,81.93945,B,3
176,371,322,86.86843,AB,2
168,362,333,86.21462,AB,2
168,358,267,79.34703,BC,4
155,335,229,71.95965,C,5
187,391,328,90.59244,AB,2
182,348,287,81.76806,B,3
159,365,244,76.76702,BC,4
175,357,308,84.01833,B,3
148,349,246,74.25528,C,5
172,370,270,81.17687,B,3
171,359,254,78.34663,BC,4
180,349,247,77.63057,BC,4
153,354,270,77.61601,BC,4
168,335,204,70.73952,C,5
181,358,304,84.31094,B,3
158,367,250,77.51566,BC,4
174,342,250,76.56361,BC,4
116,340,263,71.87025,C,5
190,376,259,82.41165,B,3
165,349,280,79.40504,BC,4
173,368,249,78.9755,BC,4
134,288,258,67.92708,F,6
192,351,344,88.62696,AB,2
138,366,303,80.63149,B,3
183,340,201,72.38335,C,5
175,332,275,78.22287,BC,4
174,361,289,82.38592,B,3
173,349,303,82.56249,B,3
185,330,233,74.77656,C,5
176,380,316,87.32651,AB,2
196,376,305,87.62258,AB,2
191,347,320,85.84777,AB,2
176,374,255,80.44698,B,3
186,374,293,85.25484,AB,2
174,363,311,84.85723,B,3
155,379,285,81.84909,B,3
182,362,260,80.42859,B,3
188,371,287,84.55314,B,3
155,353,268,77.58538,BC,4
191,379,288,85.73012,AB,2
173,363,276,81.23933,B,3
178,368,269,81.47839,B,3
179,360,293,83.08656,B,3
173,373,281,82.60212,B,3
184,387,323,89.31544,AB,2
181,322,279,78.24717,BC,4
168,355,243,76.59142,BC,4
157,360,230,74.64471,C,5
182,369,282,83.23603,B,3
136,353,219,70.73112,C,5
166,329,246,73.97517,C,5
177,352,257,78.60368,BC,4
156,363,279,79.82979,BC,4
187,392,273,85.24137,AB,2
185,349,270,80.33397,B,3
187,376,345,90.74846,AB,2
58,369,271,69.79589,F,6
167,322,229,71.88715,C,5
174,372,244,79.0316,BC,4
172,372,303,84.67557,B,3
168,403,256,82.67919,B,3
187,403,263,85.33107,AB,2
179,369,311,85.89664,AB,2
185,389,266,84.005,B,3
164,339,240,74.30851,C,5
146,342,172,65.96321,F,6
175,358,284,81.7619,B,3
187,366,260,81.3872,B,3
142,378,243,76.24231,BC,4
175,382,338,89.45872,AB,2
172,364,210,74.60667,C,5
186,336,274,79.59205,BC,4
181,352,301,83.42788,B,3
161,357,303,82.13331,B,3
183,378,289,85.03068,AB,2
189,384,273,84.50431,B,3
190,391,342,92.28277,A,1
172,358,277,80.67369,B,3
172,338,211,72.0569,C,5
181,366,230,77.69947,BC,4
171,335,283,78.90391,BC,4
98,372,259,72.93091,C,5
178,380,264,82.20419,B,3
169,355,278,80.30755,B,3
170,374,278,82.16261,B,3
181,346,233,75.98598,BC,4
188,382,311,88.15205,AB,2
155,325,283,76.28576,BC,4
188,358,310,85.57155,AB,2
168,379,280,82.70373,B,3
179,373,258,81.00151,B,3
193,362,279,83.34086,B,3
153,369,284,80.65919,B,3
180,385,348,91.25828,AB,2
189,355,252,79.62017,BC,4
176,357,261,79.35137,BC,4
185,374,253,81.22504,B,3
119,362,287,76.74621,BC,4
148,373,257,77.73254,BC,4
150,332,229,71.1252,C,5
154,362,316,83.13352,B,3
156,376,269,80.17092,B,3
187,376,321,88.33892,AB,2
179,365,265,80.81321,B,3
172,382,323,87.68871,AB,2
